Software Simulation Trace 1
Cycle:           0 | load: 1 | multiplier:          -8 | multiplicand:          -2
Cycle:          44 | count: 11 | opcode: nop | product: 0000000002800000 (busy: 1, ready: 0)
Cycle:          45 | count: 12 | opcode: nop | product: 0000000001400000 (busy: 1, ready: 0)
Cycle:          46 | count: 13 | opcode: nop | product: 0000000000a00000 (busy: 1, ready: 0)
Cycle:          47 | count: 14 | opcode: nop | product: 0000000000500000 (busy: 1, ready: 0)
Cycle:          48 | count: 15 | opcode: nop | product: 0000000000280000 (busy: 1, ready: 0)
Cycle:          49 | count: 16 | opcode: nop | product: 0000000000140000 (busy: 1, ready: 0)
Cycle:          50 | count: 17 | opcode: nop | product: 00000000000a0000 (busy: 1, ready: 0)
Cycle:          51 | count: 18 | opcode: nop | product: 0000000000050000 (busy: 1, ready: 0)
Cycle:          52 | count: 19 | opcode: nop | product: 0000000000028000 (busy: 1, ready: 0)
Cycle:          53 | count: 20 | opcode: nop | product: 0000000000014000 (busy: 1, ready: 0)
Cycle:          54 | count: 21 | opcode: nop | product: 000000000000a000 (busy: 1, ready: 0)
Cycle:          55 | count: 22 | opcode: nop | product: 0000000000005000 (busy: 1, ready: 0)
Cycle:          56 | count: 23 | opcode: nop | product: 0000000000002800 (busy: 1, ready: 0)
Cycle:          57 | count: 24 | opcode: nop | product: 0000000000001400 (busy: 1, ready: 0)
Cycle:          58 | count: 25 | opcode: nop | product: 0000000000000a00 (busy: 1, ready: 0)
Cycle:          59 | count: 26 | opcode: nop | product: 0000000000000500 (busy: 1, ready: 0)
Cycle:          60 | count: 27 | opcode: nop | product: 0000000000000280 (busy: 1, ready: 0)
Cycle:          61 | count: 28 | opcode: nop | product: 0000000000000140 (busy: 1, ready: 0)
Cycle:          62 | count: 29 | opcode: nop | product: 00000000000000a0 (busy: 1, ready: 0)
Cycle:          63 | count: 30 | opcode: nop | product: 0000000000000050 (busy: 1, ready: 0)
Cycle:          64 | count: 31 | opcode: nop | product: 0000000000000028 (busy: 1, ready: 0)
Cycle:          65 | product: 0000000000000014 (                   20) (busy: 1, ready: 1)
